title,question,genre,difficulty,tags,option1,option1_explanation,option2,option2_explanation,option3,option3_explanation,option4,option4_explanation,correct_answer,explanation,source
Python型システム,Pythonで変数を宣言するときに型を明示的に指定する必要がありますか？,プログラミング,初級,"変数,型,基礎",はい、必ず指定する,これは静的型付け言語（C++、Javaなど）の特徴です,いいえ、指定しなくてもよい,正解：Pythonは動的型付け言語なので型の明示的指定は不要です,場合による,型ヒントは推奨されますが必須ではありません,エラーになる,型を指定しなくても構文エラーにはなりません,2,Pythonは動的型付け言語で、実行時に型が決定されます,Python公式ドキュメント
リスト長取得,リストの要素数を取得するための関数は何ですか？,プログラミング,初級,"リスト,関数,組み込み",count(),これはリスト内の特定要素の個数を数える方法です,size(),これはJavaなどで使われるメソッド名です,len(),正解：Pythonの組み込み関数でシーケンスの長さを返します,length(),これはJavaScriptなどで使われるプロパティ名です,3,len()は最も基本的な組み込み関数の一つです,Python公式ドキュメント
コメント記法,Pythonでコメントを書くための記号は何ですか？,プログラミング,初級,"コメント,構文,基礎",//,これはC++やJavaScriptで使われるコメント記号です,#,正解：Pythonでは#を使って行コメントを書きます,/*,これはC言語などで使われるブロックコメントの開始記号です,--,これはSQLなどで使われるコメント記号です,2,#以降その行の末尾までがコメントとして扱われます,Python公式ドキュメント
辞書キー制約,辞書（dict）のキーとして使用できないデータ型はどれですか？,プログラミング,中級,"辞書,データ型,ハッシュ",文字列,文字列はイミュータブル（不変）なのでキーとして使用可能です,数値,数値もイミュータブルなのでキーとして使用可能です,リスト,正解：リストはミュータブル（可変）なのでハッシュ化できずキーにできません,タプル,タプルはイミュータブルなのでキーとして使用可能です,3,辞書のキーにはハッシュ可能（イミュータブル）なオブジェクトのみ使用できます,Python公式ドキュメント
ファイル操作,Pythonでファイルを開くための関数は何ですか？,プログラミング,初級,"ファイル,入出力,関数",file(),これは古いPython2で使われていた関数です,read(),これはファイルオブジェクトのメソッドでファイルを開く関数ではありません,open(),正解：ファイルを開いてファイルオブジェクトを返す組み込み関数です,load(),これは一般的なファイル読み込みの概念ですがPythonの関数名ではありません,3,open()関数はファイルパスとモードを指定してファイルオブジェクトを返します,Python公式ドキュメント
予約語識別,次のうち、Pythonの予約語（キーワード）はどれですか？,プログラミング,初級,"予約語,キーワード,構文",variable,これは変数を意味する英単語ですがPythonの予約語ではありません,function,これは関数を意味する英単語ですがPythonでは「def」を使います,class,正解：クラスを定義するためのPythonの予約語です,method,これはメソッドを意味する英単語ですがPythonの予約語ではありません,3,classキーワードを使ってクラスを定義します,Python公式ドキュメント
リスト操作,リストの末尾に要素を追加するメソッドは何ですか？,プログラミング,初級,"リスト,メソッド,操作",add(),これはセット（set）で要素を追加するメソッドです,insert(),これは指定位置に要素を挿入するメソッドです,append(),正解：リストの末尾に要素を追加するメソッドです,push(),これは他の言語（JavaScriptなど）で使われるメソッド名です,3,append()は「追加する」という意味で覚えやすいメソッド名です,Python公式ドキュメント
型変換,Pythonで文字列を整数に変換する関数は何ですか？,プログラミング,初級,"型変換,関数,データ型",str(),これは数値や他のオブジェクトを文字列に変換する関数です,int(),正解：文字列や浮動小数点数を整数に変換する関数です,float(),これは文字列や数値を浮動小数点数に変換する関数です,char(),これはC言語などで使われる文字型ですがPythonの関数ではありません,2,int()関数は「integer（整数）」の略です,Python公式ドキュメント
インデックス取得,for文でリストの要素とインデックスを同時に取得するための関数は何ですか？,プログラミング,中級,"ループ,インデックス,関数",range(),これは数値の範囲を生成する関数でインデックスのみを取得します,zip(),これは複数のイテラブルを組み合わせる関数です,enumerate(),正解：要素とそのインデックスをタプルで同時に取得できます,index(),これはリストメソッドで特定要素のインデックスを検索します,3,enumerate()は「列挙する」という意味の英単語から来ています,Python公式ドキュメント
モジュール導入,Pythonでモジュールをインポートするためのキーワードは何ですか？,プログラミング,初級,"モジュール,インポート,キーワード",include,これはC言語などで使われるプリプロセッサディレクティブです,require,これはNode.jsなどで使われるモジュール読み込み関数です,import,正解：Pythonでモジュールを読み込むためのキーワードです,load,これは一般的な読み込みの概念ですがPythonのキーワードではありません,3,import文を使って外部ライブラリや標準ライブラリを利用できます,Python公式ドキュメント
